id,steps,date,time
1503960366,373,2016-04-12,00:00:00
1503960366,160,2016-04-12,01:00:00
1503960366,151,2016-04-12,02:00:00
1503960366,0,2016-04-12,03:00:00
1503960366,0,2016-04-12,04:00:00
1503960366,0,2016-04-12,05:00:00
1503960366,0,2016-04-12,06:00:00
1503960366,0,2016-04-12,07:00:00
1503960366,250,2016-04-12,08:00:00
1503960366,1864,2016-04-12,09:00:00
1503960366,676,2016-04-12,10:00:00
1503960366,360,2016-04-12,11:00:00
1503960366,253,2016-04-12,12:00:00
1503960366,221,2016-04-12,13:00:00
1503960366,1166,2016-04-12,14:00:00
1503960366,2063,2016-04-12,15:00:00
1503960366,344,2016-04-12,16:00:00
1503960366,489,2016-04-12,17:00:00
1503960366,1386,2016-04-12,18:00:00
1503960366,558,2016-04-12,19:00:00
1503960366,1733,2016-04-12,20:00:00
1503960366,684,2016-04-12,21:00:00
1503960366,89,2016-04-12,22:00:00
1503960366,338,2016-04-12,23:00:00
1503960366,144,2016-04-13,00:00:00
1503960366,0,2016-04-13,01:00:00
1503960366,0,2016-04-13,02:00:00
1503960366,36,2016-04-13,03:00:00
1503960366,0,2016-04-13,04:00:00
1503960366,0,2016-04-13,05:00:00
1503960366,0,2016-04-13,06:00:00
1503960366,126,2016-04-13,07:00:00
1503960366,275,2016-04-13,08:00:00
1503960366,1679,2016-04-13,09:00:00
1503960366,295,2016-04-13,10:00:00
1503960366,524,2016-04-13,11:00:00
1503960366,486,2016-04-13,12:00:00
1503960366,302,2016-04-13,13:00:00
1503960366,1577,2016-04-13,14:00:00
1503960366,493,2016-04-13,15:00:00
1503960366,299,2016-04-13,16:00:00
1503960366,695,2016-04-13,17:00:00
1503960366,1343,2016-04-13,18:00:00
1503960366,258,2016-04-13,19:00:00
1503960366,0,2016-04-13,20:00:00
1503960366,0,2016-04-13,21:00:00
1503960366,437,2016-04-13,22:00:00
1503960366,1766,2016-04-13,23:00:00
1503960366,81,2016-04-14,00:00:00
1503960366,58,2016-04-14,01:00:00
1503960366,0,2016-04-14,02:00:00
1503960366,0,2016-04-14,03:00:00
1503960366,0,2016-04-14,04:00:00
1503960366,0,2016-04-14,05:00:00
1503960366,0,2016-04-14,06:00:00
1503960366,0,2016-04-14,07:00:00
1503960366,0,2016-04-14,08:00:00
1503960366,902,2016-04-14,09:00:00
1503960366,1106,2016-04-14,10:00:00
1503960366,50,2016-04-14,11:00:00
1503960366,501,2016-04-14,12:00:00
1503960366,1779,2016-04-14,13:00:00
1503960366,1228,2016-04-14,14:00:00
1503960366,139,2016-04-14,15:00:00
1503960366,408,2016-04-14,16:00:00
1503960366,37,2016-04-14,17:00:00
1503960366,322,2016-04-14,18:00:00
1503960366,11,2016-04-14,19:00:00
1503960366,806,2016-04-14,20:00:00
1503960366,2670,2016-04-14,21:00:00
1503960366,362,2016-04-14,22:00:00
1503960366,0,2016-04-14,23:00:00
1503960366,83,2016-04-15,00:00:00
1503960366,75,2016-04-15,01:00:00
1503960366,124,2016-04-15,02:00:00
1503960366,0,2016-04-15,03:00:00
1503960366,0,2016-04-15,04:00:00
1503960366,26,2016-04-15,05:00:00
1503960366,0,2016-04-15,06:00:00
1503960366,7,2016-04-15,07:00:00
1503960366,55,2016-04-15,08:00:00
1503960366,21,2016-04-15,09:00:00
1503960366,154,2016-04-15,10:00:00
1503960366,425,2016-04-15,11:00:00
1503960366,270,2016-04-15,12:00:00
1503960366,373,2016-04-15,13:00:00
1503960366,0,2016-04-15,14:00:00
1503960366,0,2016-04-15,15:00:00
1503960366,0,2016-04-15,16:00:00
1503960366,1774,2016-04-15,17:00:00
1503960366,509,2016-04-15,18:00:00
1503960366,519,2016-04-15,19:00:00
1503960366,77,2016-04-15,20:00:00
1503960366,280,2016-04-15,21:00:00
1503960366,2145,2016-04-15,22:00:00
1503960366,2768,2016-04-15,23:00:00
1503960366,459,2016-04-16,00:00:00
1503960366,0,2016-04-16,01:00:00
1503960366,63,2016-04-16,02:00:00
1503960366,6,2016-04-16,03:00:00
1503960366,6,2016-04-16,04:00:00
1503960366,12,2016-04-16,05:00:00
1503960366,0,2016-04-16,06:00:00
1503960366,101,2016-04-16,07:00:00
1503960366,175,2016-04-16,08:00:00
1503960366,1181,2016-04-16,09:00:00
1503960366,1295,2016-04-16,10:00:00
1503960366,2043,2016-04-16,11:00:00
1503960366,1513,2016-04-16,12:00:00
1503960366,3616,2016-04-16,13:00:00
1503960366,580,2016-04-16,14:00:00
1503960366,0,2016-04-16,15:00:00
1503960366,15,2016-04-16,16:00:00
1503960366,380,2016-04-16,17:00:00
1503960366,96,2016-04-16,18:00:00
1503960366,146,2016-04-16,19:00:00
1503960366,385,2016-04-16,20:00:00
1503960366,463,2016-04-16,21:00:00
1503960366,42,2016-04-16,22:00:00
1503960366,92,2016-04-16,23:00:00
1503960366,0,2016-04-17,00:00:00
1503960366,0,2016-04-17,01:00:00
1503960366,0,2016-04-17,02:00:00
1503960366,8,2016-04-17,03:00:00
1503960366,0,2016-04-17,04:00:00
1503960366,0,2016-04-17,05:00:00
1503960366,0,2016-04-17,06:00:00
1503960366,0,2016-04-17,07:00:00
1503960366,0,2016-04-17,08:00:00
1503960366,0,2016-04-17,09:00:00
1503960366,0,2016-04-17,10:00:00
1503960366,84,2016-04-17,11:00:00
1503960366,260,2016-04-17,12:00:00
1503960366,402,2016-04-17,13:00:00
